ds,y
2018-09-13,17.567
2018-09-14,17.534
2018-09-15,17.552
2018-09-16,17.67
2018-09-17,17.835
2018-09-18,17.814
2018-09-19,17.793
2018-09-20,17.786
2018-09-21,17.797
2018-09-22,17.632
2018-09-23,17.52
2018-09-24,17.387
2018-09-25,17.147
2018-09-26,16.567
2018-09-27,16.432
2018-09-28,16.412
2018-09-29,16.398
2018-09-30,16.267
2018-10-01,16.786
2018-10-02,16.89
2018-10-03,16.9
2018-10-04,16.92
2018-10-05,16.987
2018-10-06,16.987
2018-10-07,16.994
2018-10-08,16.979
2018-10-09,16.987
2018-10-10,16.979
2018-10-11,16.994
2018-10-12,17.017
2018-10-13,17.179
2018-10-14,17.234
2018-10-15,17.219
2018-10-16,17.325
2018-10-17,17.234
2018-10-18,17.225
2018-10-19,17.31
2018-10-20,17.378
2018-10-21,17.946
2018-10-22,17.968
2018-10-23,18.1
2018-10-24,18.23
2018-10-25,18.345
2018-10-26,18.334
2018-10-27,18.675
2018-10-28,18.749
2018-10-29,18.759
2018-10-30,18.74
2018-10-31,18.903
2018-11-01,18.958
2018-11-02,18.966
2018-11-03,18.976
2018-11-04,19.256
2018-11-05,19.452
2018-11-06,20.1
2018-11-07,19.876
2018-11-08,19.882
2018-11-09,19.786
2018-11-10,19.543
2018-11-11,19.543
2018-11-12,19.478
2018-11-13,19.39
2018-11-14,19.345
2018-11-15,19.367
2018-11-16,19.256
2018-11-17,19.277
2018-11-18,19.038
2018-11-19,18.094
2018-11-20,17.978
2018-11-21,17.956
2018-11-22,17.876
2018-11-23,17.569
2018-11-24,17.352
2018-11-25,17.328
2018-11-26,17.999
2018-11-27,17.867
2018-11-28,17.756
2018-11-29,17.768
2018-11-30,17.328
2018-12-01,17.187
2018-12-02,17.54
2018-12-03,17.563
2018-12-04,17.534
2018-12-05,17.498
2018-12-06,17.659
2018-12-07,17.933
2018-12-08,18.145
2018-12-09,18.198
2018-12-10,18.245
2018-12-11,18.852
2018-12-12,19.154
2018-12-13,19.19
2018-12-14,19.268
2018-12-15,19.54
2018-12-16,19.587
2018-12-17,20.045
2018-12-18,20.028
2018-12-19,19.867
2018-12-20,20.265
2018-12-21,20.367
2018-12-22,20.32
2018-12-23,20.289
2018-12-24,20.95
2018-12-25,20.876
2018-12-26,20.768
2018-12-27,20.634
2018-12-28,20.897
2018-12-29,20.987
2018-12-30,20.997
2018-12-31,21.876
2019-01-01,21.867
2019-01-02,21.832
2019-01-03,21.75
2019-01-04,20.325
2019-01-05,18.567
2019-01-06,18.342
2019-01-07,18.098
2019-01-08,17.978
2019-01-09,17.501
2019-01-10,17.245
2019-01-11,16.876
2019-01-12,16.753
2019-01-13,16.59
2019-01-14,16.593
2019-01-15,16.675
2019-01-16,16.609
2019-01-17,16.549
2019-01-18,16.493
2019-01-19,16.53
2019-01-20,16.67
2019-01-21,16.69
2019-01-22,16.72
2019-01-23,16.86
2019-01-24,16.89
2019-01-25,16.8
2019-01-26,16.9
2019-01-27,16.965
2019-01-28,16.998
2019-01-29,17.087
2019-01-30,17.051
2019-01-31,17.013
2019-02-01,16.973
2019-02-02,16.929
2019-02-03,16.883
2019-02-04,16.833
2019-02-05,16.78
2019-02-06,16.725
2019-02-07,17.08
2019-02-08,17.146
2019-02-09,17.175
2019-02-10,17.235
2019-02-11,17.27
2019-02-12,17.287
2019-02-13,17.31
2019-02-14,17.56
2019-02-15,17.457
2019-02-16,17.39
2019-02-17,17.245
2019-02-18,17.213
2019-02-19,17.224
2019-02-20,17.101
2019-02-21,16.987
2019-02-22,16.897
2019-02-23,16.547
2019-02-24,16.389
2019-02-25,16.098
2019-02-26,15.79
2019-02-27,16.054
2019-02-28,16.212
2019-03-01,16.234
2019-03-02,16.097
2019-03-03,16.156
2019-03-04,16.389
2019-03-05,16.317
2019-03-06,16.309
2019-03-07,16.289
2019-03-08,16.856
2019-03-09,16.879
2019-03-10,16.765
2019-03-11,16.763
2019-03-12,16.519
2019-03-13,16.535
2019-03-14,16.545
2019-03-15,16.549
2019-03-16,16.367
2019-03-17,16.32
2019-03-18,16.31
2019-03-19,16.287
2019-03-20,16.278
2019-03-21,16.238
2019-03-22,16.167
2019-03-23,16.391
2019-03-24,16.546
2019-03-25,16.587
2019-03-26,16.597
2019-03-27,16.63
2019-03-28,16.232
2019-03-29,16.208
2019-03-30,16.157
2019-03-31,16.152
2019-04-01,16.149
2019-04-02,16.139
2019-04-03,16.174
2019-04-04,15.892
2019-04-05,15.876
2019-04-06,15.901
2019-04-07,15.898
2019-04-08,16.078
2019-04-09,16.124
2019-04-10,16.119
2019-04-11,16.087
2019-04-12,16.09
2019-04-13,15.98
2019-04-14,15.99
2019-04-15,16.123
2019-04-16,16.793
2019-04-17,17.098
2019-04-18,17.189
2019-04-19,17.197
2019-04-20,17.194
2019-04-21,17.186
2019-04-22,17.231
2019-04-23,17.224
2019-04-24,17.22
2019-04-25,17.187
2019-04-26,17.168
2019-04-27,17.157
2019-04-28,17.169
2019-04-29,17.223
2019-04-30,17.568
2019-05-01,17.645
2019-05-02,17.786
2019-05-03,17.865
2019-05-04,17.831
2019-05-05,17.765
2019-05-06,17.532
2019-05-07,17.432
2019-05-08,17.378
2019-05-09,17.213
2019-05-10,17.209
2019-05-11,17.119
2019-05-12,17.236
2019-05-13,17.421
2019-05-14,17.357
2019-05-15,17.154
2019-05-16,17.21
2019-05-17,16.987
2019-05-18,16.932
2019-05-19,16.86
2019-05-20,16.867
2019-05-21,16.856
2019-05-22,16.86
2019-05-23,16.889
2019-05-24,17.546
2019-05-25,17.428
2019-05-26,17.478
2019-05-27,17.59
2019-05-28,17.794
2019-05-29,17.654
2019-05-30,16.874
2019-05-31,17.363
2019-06-01,17.679
2019-06-02,17.632
2019-06-03,17.894
2019-06-04,18.345
2019-06-05,19.49
2019-06-06,20.578
2019-06-07,20.534
2019-06-08,20.536
2019-06-09,21.609
2019-06-10,21.459
2019-06-11,20.589
2019-06-12,19.53
2019-06-13,18.498
2019-06-14,18.42
2019-06-15,17.198
2019-06-16,17.248
2019-06-17,17.268
2019-06-18,17.212
2019-06-19,17.045
2019-06-20,16.976
2019-06-21,16.587
2019-06-22,16.36
2019-06-23,16.359
2019-06-24,16.366
2019-06-25,17.012
2019-06-26,16.987
2019-06-27,16.876
2019-06-28,16.99
2019-06-29,17.05
2019-06-30,17.167
2019-07-01,17.2
2019-07-02,16.965
2019-07-03,16.696
2019-07-04,16.743
2019-07-05,16.219
2019-07-06,16.28
2019-07-07,16.324
2019-07-08,16.31
2019-07-09,16.276
2019-07-10,16.356
